,ids,speaker,mfcc_feautres,label,filepath
0,0,lucas,"[[-8.89887451e+02 -8.89887451e+02 -8.89887451e+02 ... -6.13716919e+02
  -6.37777039e+02 -6.85307556e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.45559570e+02
   1.34406555e+02  1.25298035e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -7.77353363e+01
  -7.43089142e+01 -4.29292755e+01]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -9.88292694e+00
  -7.57259703e+00 -2.58909822e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  6.65315056e+00
   6.21108437e+00  9.89732075e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -9.29640889e-01
   4.73357320e-01  2.71934414e+00]]",6,recordings/6_lucas_23.wav
1,1,jackson,"[[-885.89404   -885.89404   -885.89404   ... -608.71735   -623.39734
  -640.0565   ]
 [   0.           0.           0.        ...  201.59358    186.99638
   185.29233  ]
 [   0.           0.           0.        ...   -0.9013224   -6.947565
    12.2067795]
 ...
 [   0.           0.           0.        ...   -4.020054    -9.384422
     2.349651 ]
 [   0.           0.           0.        ...   -2.011688   -11.95779
    -5.0284715]
 [   0.           0.           0.        ...  -12.250197    -9.901018
   -17.772518 ]]",7,recordings/7_jackson_11.wav
2,2,george,"[[-825.31696   -825.31696   -825.31696   ... -620.5949    -630.0899
  -650.6117   ]
 [   0.           0.           0.        ...  140.52791    133.00389
   116.16853  ]
 [   0.           0.           0.        ...  -21.288553   -19.425102
   -19.173307 ]
 ...
 [   0.           0.           0.        ...   -9.892198    -3.9643772
   -11.40609  ]
 [   0.           0.           0.        ...   -3.8393013    2.9121985
     2.038402 ]
 [   0.           0.           0.        ...  -19.24443    -13.031893
    -2.633729 ]]",5,recordings/5_george_38.wav
3,3,theo,"[[-1068.0864    -1068.0864    -1068.0864    ...  -721.898
   -737.8307     -753.438    ]
 [    0.            0.            0.        ...   211.67407
    211.9494      201.76506  ]
 [    0.            0.            0.        ...   -58.14595
    -33.60204     -38.559532 ]
 ...
 [    0.            0.            0.        ...    -6.8018064
    -11.284658    -15.271776 ]
 [    0.            0.            0.        ...     7.525804
      6.7618937    -1.8206817]
 [    0.            0.            0.        ...   -26.108692
    -25.961157    -18.504877 ]]",5,recordings/5_theo_18.wav
4,4,george,"[[-819.752     -819.752     -819.752     ... -640.2067    -627.68286
  -636.82947  ]
 [   0.           0.           0.        ...  134.97546    145.43132
   137.22002  ]
 [   0.           0.           0.        ...    4.0201783   -3.4854503
    -4.289586 ]
 ...
 [   0.           0.           0.        ...  -12.800465   -17.928535
   -15.0131235]
 [   0.           0.           0.        ...  -15.116018    -5.9123197
   -18.485409 ]
 [   0.           0.           0.        ...  -16.120932   -11.803448
   -11.774628 ]]",0,recordings/0_george_1.wav
5,5,jackson,"[[-765.26733   -765.26733   -765.26733   ... -591.7684    -603.3702
  -606.1951   ]
 [   0.           0.           0.        ...  137.58517    134.18651
   131.16814  ]
 [   0.           0.           0.        ...   15.171767    18.58596
    22.086147 ]
 ...
 [   0.           0.           0.        ...   -5.194148    -3.046939
    -6.5023584]
 [   0.           0.           0.        ...  -10.882507    -9.781517
   -11.493923 ]
 [   0.           0.           0.        ...  -13.028647    -8.651927
   -18.661932 ]]",7,recordings/7_jackson_46.wav
6,6,lucas,"[[-7.9602148e+02 -7.9602148e+02 -7.9602148e+02 ... -6.8099701e+02
  -6.9557281e+02 -7.1873737e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  7.3414307e+01
   7.1684990e+01  6.0561005e+01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -2.5038769e+01
  -9.4851713e+00  8.9560044e-01]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -1.0381303e+01
  -1.1272814e+00  3.5453012e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -5.4608190e-01
   3.8604295e+00  1.0069706e+01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -1.8399984e+00
  -3.5913682e+00  5.9326315e+00]]",3,recordings/3_lucas_41.wav
7,7,george,"[[-832.5443    -832.5443    -832.5443    ... -617.4578    -616.69775
  -566.71014  ]
 [   0.           0.           0.        ...  149.08081    136.71622
   149.16223  ]
 [   0.           0.           0.        ...  -21.99381    -42.5401
   -78.01404  ]
 ...
 [   0.           0.           0.        ...   -5.5092516   -7.5488577
     1.0446827]
 [   0.           0.           0.        ...   -3.07018      1.7746122
    14.843231 ]
 [   0.           0.           0.        ...  -10.676299   -17.274117
    -5.2117033]]",9,recordings/9_george_26.wav
8,8,jackson,"[[-708.3539    -708.3539    -708.3539    ... -573.7601    -596.5521
  -605.7748   ]
 [   0.           0.           0.        ...  143.49426    121.346054
   110.95036  ]
 [   0.           0.           0.        ...   57.497383    54.621956
    50.848366 ]
 ...
 [   0.           0.           0.        ...   -4.450322   -15.52221
   -13.689022 ]
 [   0.           0.           0.        ...    2.1168401   -9.927749
    -6.6565914]
 [   0.           0.           0.        ...   -7.738528   -13.410228
    -2.9886603]]",0,recordings/0_jackson_6.wav
9,9,yweweler,"[[-8.9820056e+02 -8.9820056e+02 -8.9820056e+02 ... -8.5656317e+02
  -8.7358276e+02 -7.4392584e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  2.9265572e+01
   1.1414793e+01  9.5887276e+01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.0653505e+01
   3.9633462e+00 -5.0687866e+01]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.7456667e+00
   5.8023434e+00 -5.7945175e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  5.4650316e+00
   6.4845362e+00 -5.1574838e-01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.8767753e+00
  -3.6785398e+00 -3.2953310e+00]]",6,recordings/6_yweweler_33.wav
10,10,george,"[[-862.24677   -862.24677   -862.24677   ... -611.912     -609.9789
  -618.165    ]
 [   0.           0.           0.        ...  115.356445   118.2722
   115.00571  ]
 [   0.           0.           0.        ...  -88.736755   -94.18138
   -81.98639  ]
 ...
 [   0.           0.           0.        ...  -21.546936   -10.863972
    -9.684826 ]
 [   0.           0.           0.        ...   -3.5733023   11.502462
    10.975237 ]
 [   0.           0.           0.        ...  -13.657772    -3.0234075
    -3.5349069]]",6,recordings/6_george_17.wav
11,11,theo,"[[-1095.5363    -1095.5363    -1095.5363    ...  -725.2503
   -734.63544    -707.72284  ]
 [    0.            0.            0.        ...   214.1677
    221.0305      233.33757  ]
 [    0.            0.            0.        ...   -86.12645
    -75.82536     -87.52663  ]
 ...
 [    0.            0.            0.        ...   -12.002134
     -2.3899121    -6.2435775]
 [    0.            0.            0.        ...     4.7017136
     14.800074      8.405155 ]
 [    0.            0.            0.        ...   -29.974897
    -15.548691    -27.112715 ]]",5,recordings/5_theo_14.wav
12,12,nicolas,"[[-819.82605   -819.82605   -819.82605   ... -517.7191    -523.7352
  -529.8271   ]
 [   0.           0.           0.        ...  186.06812    174.99634
   167.46808  ]
 [   0.           0.           0.        ...  -29.868692   -39.579178
   -47.88112  ]
 ...
 [   0.           0.           0.        ...   10.200884     6.2764745
     2.094442 ]
 [   0.           0.           0.        ...   17.47675     11.986216
    15.003374 ]
 [   0.           0.           0.        ...  -13.837093    -8.849348
    -4.47554  ]]",2,recordings/2_nicolas_42.wav
13,13,yweweler,"[[-9.79736938e+02 -9.79736938e+02 -9.79736938e+02 ... -8.23241211e+02
  -8.23391541e+02 -8.20136108e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  9.62379761e+01
   1.00399414e+02  9.74928741e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -2.52388611e+01
  -1.51620674e+01 -2.14193058e+01]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  7.44648743e+00
  -3.73220503e-01  3.68846631e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.85210590e+01
   7.85483074e+00  1.07142334e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.71269774e+00
  -1.00846500e+01 -1.07399769e+01]]",5,recordings/5_yweweler_46.wav
